DATE gni consum
01JAN1960 558.7 580.8
01APR1960 621.2 594.4
01JUL1960 669.4 633
01OCT1960 671.5 674.7
01JAN1961 720.4 741.3
01APR1961 758.6 689.7
01JUL1961 774.5 727
01OCT1961 800.1 772.4
01JAN1962 867.6 823.6
01APR1962 906.2 831.4
01JUL1962 909.7 914
01OCT1962 1016.2 968.4
01JAN1963 1177.7 971.9
01APR1963 1221.9 1023.4
01JUL1963 1358.1 1346.4
01OCT1963 1473.1 1383.3
01JAN1964 1600 1594.3
01APR1964 1790 1669.3
01JUL1964 1967.5 1695.5
01OCT1964 2116.8 1770.7
01JAN1965 2003 1814.5
01APR1965 2068.8 1828.5
01JUL1965 2113.3 2006.1
01OCT1965 2244.2 2032.8
01JAN1966 2450.8 2133.4
01APR1966 2712.8 2230.5
01JUL1966 2817.8 2412.3
01OCT1966 2899.3 2634.4
01JAN1967 3036.2 2619.3
01APR1967 3316.3 2771.2
01JUL1967 3488.3 2935.6
01OCT1967 3676.4 3368.7
01JAN1968 4097.7 3449.2
01APR1968 4341.2 3495
01JUL1968 4390.6 3617.5
01OCT1968 4537.2 3927.6
01JAN1969 4866.9 4220.8
01APR1969 5362 4353.8
01JUL1969 5999.2 4567.3
01OCT1969 6441.3 5032.2
01JAN1970 6583 5245
01APR1970 6677 5723
01JUL1970 7296 6010
01OCT1970 7871 6411
01JAN1971 8181 6784
01APR1971 8542 7201
01JUL1971 8714 7591
01OCT1971 9133 7813
01JAN1972 9635 8263
01APR1972 10392 8702
01JUL1972 10924 9111
01OCT1972 11713 9356
01JAN1973 12300 9746
01APR1973 13088 10354
01JUL1973 14438 10988
01OCT1973 15330 11651
01JAN1974 18227 13412
01APR1974 18744 14865
01JUL1974 19889 15958
01OCT1974 22168 17498
01JAN1975 23294 18758
01APR1975 25397 20548
01JUL1975 26518 21456
01OCT1975 28911 23282
01JAN1976 32119 25121
01APR1976 35370 26006
01JUL1976 37023 27752
01OCT1976 38877 29161
01JAN1977 41045 30361
01APR1977 43804 31771
01JUL1977 47572 33820
01OCT1977 52096 36543
01JAN1978 55326 38681
01APR1978 59857 42229
01JUL1978 65309 44922
01OCT1978 70200 47661
01JAN1979 74621 51154
01APR1979 78144 54478
01JUL1979 82502 56948
01OCT1979 86022 61417
01JAN1980 90208 66481
01APR1980 94564 70258
01JUL1980 100485 76047
01OCT1980 105576 80519
01JAN1981 110785 85212
01APR1981 119024 90425
01JUL1981 124781 94343
01OCT1981 131384 97666
01JAN1982 133699 98060
01APR1982 139088 102000
01JUL1982 142546 105883
01OCT1982 147659 109379
01JAN1983 159240 112972
01APR1983 162155 115901
01JUL1983 171045 117736
01OCT1983 174879 120731
01JAN1984 182416 124419
01APR1984 188651 128239
01JUL1984 197039 132366
01OCT1984 198644 134862
01JAN1985 200580 138042
01APR1985 208525 141468
01JUL1985 218550 147020
01OCT1985 225059 151212
01JAN1986 233114 154203
01APR1986 241127 157905
01JUL1986 255965 163844
01OCT1986 265631 166611
01JAN1987 275517 171350
01APR1987 291216 180183
01JUL1987 302518 183079
01OCT1987 317581 190532
01JAN1988 340995 198310
01APR1988 344876 205449
01JUL1988 362360 214093
01OCT1988 380552 223220
01JAN1989 385151 232881
01APR1989 395614 243572
01JUL1989 409424 253297
01OCT1989 439318 266583
01JAN1990 459681 280293
01APR1990 479479 294492
01JUL1990 508722 306301
01OCT1990 526265 321930
01JAN1991 557213 337298
01APR1991 582600 352539
01JUL1991 607626 371924
01OCT1991 637264 388880
01JAN1992 653589 399840
01APR1992 677894 414543
01JUL1992 688041 428583
01OCT1992 707561 441496
01JAN1993 729416 456011
01APR1993 764624 468480
01JUL1993 786291 482522
01OCT1993 813382 502771
01JAN1994 857828 535113
01APR1994 893094 554422
01JUL1994 925609 575353
01OCT1994 971362 596286
01JAN1995 1008973 623826
01APR1995 1055443 649778
01JUL1995 1098121 676647
01OCT1995 1107585 694732
01JAN1996 1151958 725933
01APR1996 1182008 751564
01JUL1996 1217973 769371
01OCT1996 1239286 799596
01JAN1997 1248488 809060
01APR1997 1300923 832818
01JUL1997 1337962 852038
01OCT1997 1383400 864610
01JAN1998 1319247 796250
01APR1998 1277512 794822
01JUL1998 1283906 810470
01OCT1998 1291956 832985
01JAN1999 1347833 864093
01APR1999 1387943 891818
01JUL1999 1464199 934031
01OCT1999 1501573 971453
01JAN2000 1538511 1009694
01APR2000 1555815 1015279
01JUL2000 1602363 1042443
01OCT2000 1609454 1067195
01JAN2001 1661264 1098510
01APR2001 1710606 1136533
01JUL2001 1737447 1170454
01OCT2001 1725153 1201186
01JAN2002 1837682 1249692
01APR2002 1885279 1284652
01JUL2002 1912301 1299548
01OCT2002 1953363 1322269
01JAN2003 1973860 1327161
01APR2003 1988480 1331053
01JUL2003 2021455 1340505
01OCT2003 2093984 1360955
01JAN2004 2142539 1375445
01APR2004 2172090 1394401
01JUL2004 2202758 1416090
01OCT2004 2225000 1434266
01JAN2005 2237049 1459719
01APR2005 2261423 1491933
01JUL2005 2298132 1525114
01OCT2005 2329482 1546688
01JAN2006 2354621 1571685
01APR2006 2373761 1594904
01JUL2006 2436204 1620377
01OCT2006 2459881 1647114
01JAN2007 2512255 1676800
01APR2007 2571189 1712553
01JUL2007 2629953 1743833
01OCT2007 2687522 1784218
01JAN2008 2721336 1821964
01APR2008 2770474 1851662
01JUL2008 2791522 1879614
01OCT2008 2760812 1854806
01JAN2009 2757604 1855052
01APR2009 2851780 1922208
01JUL2009 2939297 1945671
01OCT2009 2941138 1972955
01JAN2010 3073222 2005303
01APR2010 3166885 2033398
01JUL2010 3212959 2059597
01OCT2010 3212731 2099914
01JAN2011 3274163 2140079
01APR2011 3320377 2178763
01JUL2011 3380787 2197985
01OCT2011 3429971 2218399
01JAN2012 3456088 2253186
01APR2012 3483658 2264421
01JUL2012 3472951 2292416
01OCT2012 3503259 2309360
01JAN2013 3538941 2318572
01APR2013 3591915 2345874
01JUL2013 3622449 2369448
01OCT2013 3643138 2388778
01JAN2014 3719611 2410613
01APR2014 3720604 2421019
01JUL2014 3750886 2442127
01OCT2014 3774833 2455759
01JAN2015 3909854 2472860
01APR2015 3889862 2508963
